25.11.1984;C.W. Gluck;Ouvertüre zu Iphigenie in Aulis
25.11.1984;L.v. Beethoven;Messe C-Dur op.86
20.11.1983;J. Haydn;Messe B-Dur Theresienmesse
20.11.1983;J. Haydn;Sinfonie Nr. 45 G-Dur
22.11.1982;C.P.E. Bach;Magnificat
22.11.1982;J. Brahms;5 Choralvorspiele op.122
22.11.1982;J. Brahms;Nänie op.82
21.11.1981;G. Fauré;Requiem op. 48
21.11.1981;J. Haydn;Sinfonie Nr. 80 d-moll
21.11.1981;W.A. Mozart;Kyrie d-moll KV 341
23.11.1980;J.S. Bach;Johannes-Passion BWV 245
02.12.1979;G.F. Händel;Feuerwerksmusik
02.12.1979;J.S. Bach;Kantate "Unser Mund sei voll des Lachens" BWV 110
02.12.1979;J.S. Bach;Kantate "Wachet auf, ruft uns die Stimme" BWV 140
02.12.1979;J.S. Bach;Motette "Jesu, meine Freude" BWV 227
02.12.1979;L. Boccherini;Konzert für Violoncello und Orchester B-Dur
03.12.1978;C.W. Gluck;Ouvertüre zu Iphigenie in Aulis
03.12.1978;J. Haydn;Harmoniemesse
04.12.1977;L.v. Beethoven;Messe C-Dur op.86
04.12.1977;W.A. Mozart;Sinfonie Nr. 25 g-moll KV 183
05.12.1976;G.B. Pergolesi;Concertino Nr. 1 G-Dur für Orchester
05.12.1976;J. Haydn;Sinfonie Nr. 53 D-Dur L'Impériale
05.12.1976;J.S. Bach;Magnificat D-Dur BWV 243
21.12.1975;F. Schubert;Messe Es-Dur
21.12.1975;F. Schubert;Sinfonie Nr. 5 B-Dur
19.07.1974;G.F. Händel;Ouvertüre zu Agrippina
19.07.1974;J.S. Bach;Ricercar Nr.6 aus dem Musikalischen Opfer BWV 1079
19.07.1974;W.A. Mozart;Requiem KV 626
12.12.1973;J.S. Bach;Weihnachtsoratorium I-II BWV 245
07.02.1972;A. Vivaldi;Gloria
07.02.1972;J.Ch. Bach;Sinfonie D-dur op.18 Nr.4
07.02.1972;J.S. Bach;Himmelfahrts-Oratorium "Lobet Gott in seinen Reichen" BWV 11
25.10.1970;J. Haydn;Missa in Angustiis Nelsonmesse
25.10.1970;J. Haydn;Sinfonie Nr. 52 c-moll
21.04.1969;J. Haydn;Sinfonie Nr. 70 D-Dur
21.04.1969;J.S. Bach;Motette "Jesu, meine Freude" BWV 227
21.04.1969;J.S. Bach;Motette "Lobet den Herrn, alle Heiden" BWV 230
21.04.1969;W.A. Mozart;Adagio und Fuge c-moll für Orchester
12.02.1968;J. Haydn;Sinfonie Nr. 57 D-Dur
12.02.1968;L. Cherubini;Requiem
12.07.1967;B. Britten;Simple Symphony
12.07.1967;C. Orff;Cartulli Carmina
28.02.1967;F. Couperin;Pièces en concert für Violoncello und Orchester
28.02.1967;T. Albinoni;Sonate A-Dur op.2 Nr.3
28.02.1967;W.A. Mozart;Sinfonie Nr. 25 g-moll KV 183
13.07.1966;J.S. Bach;Kantate "Ich hatte viel Bekümmernis" BWV 21
13.07.1966;J.S. Bach;Ouvertüre aus der Suite Nr.3 B-Dur
14.07.1965;J. Haydn;Messe B-Dur Theresienmesse
14.07.1965;J.S. Bach;Brandenburgisches Konzert Nr.3 G-Dur BWV 1048
